,filename,score,num_of_evaluations,mean_score
40,BpO1xDxA4A-.jpg,4,29,0.13793103448275862
42,BpO2ERDHUwT.jpg,5,30,0.16666666666666666
44,BpO2LJenwNX.jpg,17,30,0.5666666666666667
41,BpO2b2Hl9Da.jpg,8,30,0.26666666666666666
43,BpO2js4nb5h.jpg,13,30,0.43333333333333335
45,BpO2u0jAMgJ.jpg,0,30,0.0
46,BpO3-s6BiSe.jpg,23,29,0.7931034482758621
52,BpO3UhwAo9w.jpg,23,30,0.7666666666666667
47,BpO3c0cl9Tw.jpg,23,30,0.7666666666666667
48,BpO3ervnW9K.jpg,13,30,0.43333333333333335
49,BpO3oIQF1yF.jpg,23,30,0.7666666666666667
50,BpO3oyWgw7p.jpg,0,30,0.0
51,BpO3rsDBaXA.jpg,21,29,0.7241379310344828
54,BpO4D2bgefj.jpg,18,30,0.6
55,BpO4F-GAjYR.jpg,15,29,0.5172413793103449
56,BpO4IG1Ajjh.jpg,7,30,0.23333333333333334
59,BpO4OusF1iB.jpg,23,30,0.7666666666666667
61,BpO4Tozg7hs.jpg,6,30,0.2
53,BpO4bV8lqVc.jpg,10,30,0.3333333333333333
57,BpO4kBBg0et.jpg,18,30,0.6
58,BpO4mYGAY7h.jpg,7,30,0.23333333333333334
60,BpO4s5zAhUa.jpg,22,30,0.7333333333333333
62,BpO4uxGn3In.jpg,18,30,0.6
63,BpO4xVWnxnZ.jpg,13,30,0.43333333333333335
65,BpO5BxYH65f.jpg,18,30,0.6
68,BpO5M9ZATA8.jpg,13,20,0.65
71,BpO5V8NlP1A.jpg,11,22,0.5
64,BpO5_b5hF-H.jpg,22,30,0.7333333333333333
66,BpO5h_OAaHN.jpg,13,30,0.43333333333333335
67,BpO5lZYgO2h.jpg,18,29,0.6206896551724138
69,BpO5sePB8Pb.jpg,16,22,0.7272727272727273
70,BpO5tFYhpeB.jpg,3,20,0.15
72,BpO63cmArlK.jpg,16,22,0.7272727272727273
73,BpO6Dc9AHOF.jpg,9,22,0.4090909090909091
74,BpO6G0igxFH.jpg,4,22,0.18181818181818182
75,BpO6JwKgs3l.jpg,8,21,0.38095238095238093
76,BpO6PkcBuSJ.jpg,8,21,0.38095238095238093
77,BpO6Rq7DmPg.jpg,7,22,0.3181818181818182
78,BpO6Rx1nvn1.jpg,11,22,0.5
79,BpO6T_-h44C.jpg,6,20,0.3
80,BpO6VfblVhx.jpg,10,20,0.5
81,BpO6vJKBqXS.jpg,12,22,0.5454545454545454
82,BpO6wAen7mE.jpg,12,21,0.5714285714285714
83,BpO73ACHeLv.jpg,17,21,0.8095238095238095
84,BpO75R_nYuu.jpg,13,20,0.65
85,BpO79kBlP_5.jpg,3,21,0.14285714285714285
87,BpO7ImEg3Jc.jpg,4,22,0.18181818181818182
88,BpO7LnVFZRR.jpg,13,21,0.6190476190476191
90,BpO7XIOHrNh.jpg,5,22,0.22727272727272727
86,BpO7bCTFBC_.jpg,13,20,0.65
89,BpO7s85nj_c.jpg,13,22,0.5909090909090909
91,BpO7xyTBryp.jpg,10,20,0.5
93,BpO8GD4AglG.jpg,13,21,0.6190476190476191
94,BpO8HfzH-b5.jpg,6,21,0.2857142857142857
95,BpO8JueB_d2.jpg,4,20,0.2
97,BpO8PyNlXqd.jpg,10,23,0.43478260869565216
92,BpO8fEigvwL.jpg,4,20,0.2
96,BpO8mCNhQmh.jpg,1,20,0.05
98,BpO8vEeApJS.jpg,13,20,0.65
99,BpO96xHAC_r.jpg,6,21,0.2857142857142857
102,BpO9SnXHqsc.jpg,1,20,0.05
103,BpO9VTiB-ST.jpg,8,21,0.38095238095238093
100,BpO9o0MBkks.jpg,15,22,0.6818181818181818
101,BpO9o8MHfu5.jpg,15,22,0.6818181818181818
104,BpO9x4XAQfP.jpg,16,22,0.7272727272727273
112,BpOGZajnu78.jpg,11,22,0.5
133,BpOTEKnFQm8.jpg,13,21,0.6190476190476191
135,BpOTQn0gFtb.jpg,13,20,0.65
105,BpO_HN4BBWm.jpg,7,23,0.30434782608695654
108,BpO_QVIB6hZ.jpg,15,22,0.6818181818181818
106,BpO_j04BM5b.jpg,10,21,0.47619047619047616
107,BpO_o1QASag.jpg,17,20,0.85
109,BpO_rtHgp_9.jpg,6,20,0.3
110,BpO_s-zg2U2.jpg,10,21,0.47619047619047616
111,BpO_yzSAtO-.jpg,12,20,0.6
113,BpOmr8xAn33.jpg,9,20,0.45
114,BpOn8RYHzfp.jpg,16,24,0.6666666666666666
115,BpOnM9jBR3B.jpg,13,20,0.65
116,BpOoH2Ghr2j.jpg,7,20,0.35
117,BpOoMM-nzDO.jpg,12,20,0.6
118,BpOoSmWAXI5.jpg,11,20,0.55
119,BpOovm3nZd4.jpg,13,21,0.6190476190476191
120,BpOoxj-lS63.jpg,10,22,0.45454545454545453
121,BpOpVG5nxG4.jpg,0,21,0.0
122,BpOq03zBrc3.jpg,8,20,0.4
123,BpOq1YEnt1M.jpg,9,20,0.45
124,BpOqbdDnDqx.jpg,14,21,0.6666666666666666
125,BpOqiO3FzZv.jpg,13,21,0.6190476190476191
126,BpOqwwxgxFM.jpg,13,20,0.65
127,BpOr-6RjKIu.jpg,18,21,0.8571428571428571
128,BpOruLWni7h.jpg,17,21,0.8095238095238095
129,BpOryjSg3rF.jpg,10,22,0.45454545454545453
130,BpOsJNUnD6b.jpg,16,20,0.8
131,BpOsMEHBSgN.jpg,14,22,0.6363636363636364
132,BpOspuFhSdM.jpg,8,21,0.38095238095238093
137,BpOtXFkgl8g.jpg,14,22,0.6363636363636364
134,BpOtk1zBTya.jpg,12,22,0.5454545454545454
136,BpOttpwAS6L.jpg,8,20,0.4
138,BpOug2zAH5m.jpg,9,22,0.4090909090909091
139,BpOuuVFgZET.jpg,13,21,0.6190476190476191
140,BpOv3YlFpos.jpg,6,20,0.3
145,BpOvM4-AEW2.jpg,12,23,0.5217391304347826
146,BpOvXLJHjqn.jpg,7,22,0.3181818181818182
147,BpOvY0BBJP7.jpg,7,22,0.3181818181818182
148,BpOvZddBfVJ.jpg,9,21,0.42857142857142855
141,BpOvab1A_TY.jpg,10,22,0.45454545454545453
142,BpOvbhwhL9Y.jpg,5,21,0.23809523809523808
143,BpOvbwggMaK.jpg,6,20,0.3
144,BpOvhgWApTL.jpg,8,20,0.4
149,BpOw3HJA3o5.jpg,14,21,0.6666666666666666
151,BpOwGHdgEBF.jpg,12,21,0.5714285714285714
152,BpOwGnmHwTN.jpg,4,22,0.18181818181818182
153,BpOwIxRgtMZ.jpg,7,22,0.3181818181818182
150,BpOwa7uDV99.jpg,13,21,0.6190476190476191
154,BpOwlJpAUFQ.jpg,16,23,0.6956521739130435
159,BpOxNXRlJjX.jpg,16,21,0.7619047619047619
160,BpOxTruAejN.jpg,12,20,0.6
161,BpOxVVvlSK_.jpg,13,21,0.6190476190476191
155,BpOxdQ1lf5g.jpg,10,23,0.43478260869565216
156,BpOxh3ohywY.jpg,12,22,0.5454545454545454
157,BpOxhqgHXhH.jpg,0,22,0.0
158,BpOxj6qHnXw.jpg,14,24,0.5833333333333334
162,BpOy9AklqS2.jpg,3,20,0.15
164,BpOyBhani4w.jpg,10,20,0.5
166,BpOyJ8kH5xH.jpg,12,20,0.6
167,BpOyLARhSPl.jpg,10,24,0.4166666666666667
168,BpOyODyHcx5.jpg,10,21,0.47619047619047616
169,BpOyVN7An7R.jpg,16,22,0.7272727272727273
170,BpOyYMQgs8K.jpg,3,22,0.13636363636363635
163,BpOyaZNjH3x.jpg,9,21,0.42857142857142855
165,BpOyfCGhw9U.jpg,16,20,0.8
171,BpOz0mulssy.jpg,12,22,0.5454545454545454
172,BpOz1axAOnf.jpg,9,23,0.391304347826087
173,BpOzGFcAlpo.jpg,16,21,0.7619047619047619
175,BpOzY6PB_ed.jpg,9,21,0.42857142857142855
176,BpOzZh7Db8d.jpg,16,22,0.7272727272727273
174,BpOzvIoHJ30.jpg,9,23,0.391304347826087
177,BpP-GX5hCe7.jpg,11,21,0.5238095238095238
178,BpP2xxsn_eU.jpg,8,21,0.38095238095238093
179,BpP4rjmh8Z6.jpg,5,21,0.23809523809523808
180,BpP7L0hHN8i.jpg,6,20,0.3
182,BpP9JmUAJbU.jpg,15,20,0.75
181,BpP9dDjFHmt.jpg,16,22,0.7272727272727273
183,BpP9jyLgH3p.jpg,8,23,0.34782608695652173
185,BpPAA8dn2KF.jpg,2,20,0.1
188,BpPAPfSAqIP.jpg,7,21,0.3333333333333333
189,BpPAR39hagm.jpg,4,20,0.2
190,BpPARlogd8J.jpg,18,25,0.72
191,BpPASgDgss0.jpg,20,27,0.7407407407407407
194,BpPAZRqAN-n.jpg,17,27,0.6296296296296297
193,BpPAZnagNza.jpg,6,29,0.20689655172413793
187,BpPAgeAHHx-.jpg,8,22,0.36363636363636365
192,BpPAxAglyS4.jpg,7,26,0.2692307692307692
195,BpPB-gTjxJh.jpg,17,27,0.6296296296296297
196,BpPB1StgCdZ.jpg,11,29,0.3793103448275862
197,BpPB5WSBYGa.jpg,9,26,0.34615384615384615
198,BpPBATyHBHX.jpg,9,27,0.3333333333333333
201,BpPBLOyBkDQ.jpg,16,26,0.6153846153846154
200,BpPBhAwDzAS.jpg,19,29,0.6551724137931034
203,BpPC3cNAbXQ.jpg,4,23,0.17391304347826086
204,BpPCFTgghxz.jpg,8,28,0.2857142857142857
206,BpPCJEBDCcc.jpg,12,27,0.4444444444444444
208,BpPCKzQAnjP.jpg,10,22,0.45454545454545453
205,BpPCiCtHTA7.jpg,7,23,0.30434782608695654
207,BpPCk8KlSLU.jpg,11,22,0.5
209,BpPCu71FBcW.jpg,20,24,0.8333333333333334
210,BpPCuFrlG2Y.jpg,16,21,0.7619047619047619
211,BpPCx4uFCS-.jpg,11,22,0.5
213,BpPD32LAopN.jpg,3,21,0.14285714285714285
214,BpPD3SKAWM5.jpg,13,21,0.6190476190476191
216,BpPDJm_hXPU.jpg,11,21,0.5238095238095238
217,BpPDMY3AYJj.jpg,12,21,0.5714285714285714
219,BpPDSvngp4A.jpg,16,21,0.7619047619047619
220,BpPDT6-A9pG.jpg,16,20,0.8
221,BpPDTydnqBF.jpg,16,22,0.7272727272727273
215,BpPDhMUAvai.jpg,14,20,0.7
218,BpPDnKEAbNB.jpg,11,23,0.4782608695652174
222,BpPE-_LFs4v.jpg,11,21,0.5238095238095238
223,BpPE4SaHZ9x.jpg,9,22,0.4090909090909091
224,BpPEA7JFemm.jpg,13,21,0.6190476190476191
225,BpPEBVaAqy-.jpg,7,20,0.35
228,BpPEISznylw.jpg,6,20,0.3
230,BpPEMFCh89L.jpg,20,22,0.9090909090909091
229,BpPEMeVH6zW.jpg,19,21,0.9047619047619048
232,BpPEQigF1yn.jpg,10,21,0.47619047619047616
233,BpPEX1aA9rh.jpg,13,20,0.65
226,BpPEfB1FFpw.jpg,11,22,0.5
227,BpPEgSQgiy-.jpg,7,20,0.35
231,BpPEoEYnu9o.jpg,12,22,0.5454545454545454
234,BpPEzKDnxEL.jpg,13,21,0.6190476190476191
235,BpPF-KQFkDV.jpg,8,20,0.4
236,BpPF1hyAMZ2.jpg,14,22,0.6363636363636364
237,BpPF6SnA9me.jpg,6,20,0.3
238,BpPF99AA0PG.jpg,19,21,0.9047619047619048
242,BpPFCZgnWCA.jpg,16,21,0.7619047619047619
243,BpPFExCg4QU.jpg,13,21,0.6190476190476191
244,BpPFLdCA-hi.jpg,13,22,0.5909090909090909
245,BpPFP_9hPAl.jpg,18,21,0.8571428571428571
239,BpPFb8dHkIw.jpg,15,21,0.7142857142857143
240,BpPFbNynwhi.jpg,13,20,0.65
241,BpPFcYqFPJF.jpg,18,21,0.8571428571428571
246,BpPFqcJhcuw.jpg,18,23,0.782608695652174
247,BpPFqqjF05i.jpg,8,20,0.4
248,BpPFrHMAD3f.jpg,10,23,0.43478260869565216
249,BpPFvphgz3M.jpg,10,20,0.5
250,BpPG5aFAB7w.jpg,1,20,0.05
253,BpPGC6YhP1o.jpg,8,21,0.38095238095238093
254,BpPGCiMg6B9.jpg,11,21,0.5238095238095238
261,BpPGPaBnR9Y.jpg,4,21,0.19047619047619047
264,BpPGUCanWnn.jpg,7,23,0.30434782608695654
265,BpPGUOZnrwl.jpg,5,24,0.20833333333333334
267,BpPGZA3n_T5.jpg,12,22,0.5454545454545454
252,BpPGapJhbu3.jpg,12,23,0.5217391304347826
255,BpPGi1SgMux.jpg,10,20,0.5
256,BpPGipmFMpW.jpg,9,23,0.391304347826087
257,BpPGjFqg8hA.jpg,16,22,0.7272727272727273
258,BpPGlEeAKZb.jpg,13,21,0.6190476190476191
259,BpPGnHegQ2a.jpg,20,23,0.8695652173913043
260,BpPGodAAGuH.jpg,3,21,0.14285714285714285
262,BpPGphngOrz.jpg,15,21,0.7142857142857143
266,BpPGwVrlBUv.jpg,16,21,0.7619047619047619
268,BpPHA-EhS2p.jpg,6,20,0.3
269,BpPHAwAAjai.jpg,13,21,0.6190476190476191
270,BpPHE2BAm-j.jpg,14,20,0.7
272,BpPHEuUHrdM.jpg,5,21,0.23809523809523808
274,BpPHMPcAAnJ.jpg,9,21,0.42857142857142855
276,BpPHXkhHzS5.jpg,9,22,0.4090909090909091
271,BpPHeGQAp6U.jpg,8,23,0.34782608695652173
273,BpPHgYxFhc2.jpg,11,23,0.4782608695652174
275,BpPHnGLAabZ.jpg,5,20,0.25
277,BpPHy02BQ9E.jpg,14,21,0.6666666666666666
278,BpPI1BhgMo1.jpg,11,24,0.4583333333333333
279,BpPI4z2Bu4I.jpg,5,22,0.22727272727272727
280,BpPI7u8g9Zc.jpg,17,22,0.7727272727272727
283,BpPIOizj6Dz.jpg,18,20,0.9
285,BpPJNf0hFOY.jpg,8,21,0.38095238095238093
289,BpPJWXVn8GG.jpg,10,22,0.45454545454545453
284,BpPJaDsAd3X.jpg,17,22,0.7727272727272727
286,BpPJs6UngH-.jpg,8,20,0.4
287,BpPJt36AI_K.jpg,17,23,0.7391304347826086
288,BpPJu8MAtM1.jpg,16,20,0.8
294,BpPKW3_FWgl.jpg,7,22,0.3181818181818182
295,BpPKXnJBZcr.jpg,13,21,0.6190476190476191
296,BpPKY5UFsuL.jpg,13,22,0.5909090909090909
291,BpPKkLCF5jU.jpg,7,21,0.3333333333333333
292,BpPKl6HhZd_.jpg,12,23,0.5217391304347826
293,BpPKuSMAD2e.jpg,17,22,0.7727272727272727
297,BpPL3M5hNB-.jpg,12,20,0.6
298,BpPL5XSgdME.jpg,3,21,0.14285714285714285
300,BpPLFuaBfCO.jpg,5,22,0.22727272727272727
301,BpPLG1MlUjA.jpg,15,23,0.6521739130434783
302,BpPLLmJhoJP.jpg,7,22,0.3181818181818182
299,BpPLfR2A22n.jpg,7,22,0.3181818181818182
304,BpPM1emFiYW.jpg,14,21,0.6666666666666666
305,BpPM4SDlAi1.jpg,3,22,0.13636363636363635
306,BpPM9Q1hKzK.jpg,13,22,0.5909090909090909
309,BpPMFtpHVPF.jpg,7,20,0.35
311,BpPMRSdh_ya.jpg,11,22,0.5
307,BpPMaspjwuA.jpg,1,22,0.045454545454545456
310,BpPMrD6n9kB.jpg,5,22,0.22727272727272727
314,BpPNEHulMwT.jpg,6,22,0.2727272727272727
315,BpPNJ_FgQVC.jpg,14,22,0.6363636363636364
316,BpPNOI0HK2A.jpg,16,21,0.7619047619047619
312,BpPNcEmA8DH.jpg,10,23,0.43478260869565216
313,BpPNdjeHybi.jpg,13,23,0.5652173913043478
317,BpPO0QlgpXy.jpg,11,22,0.5
318,BpPO1V8geTO.jpg,16,22,0.7272727272727273
320,BpPOLg2DmMx.jpg,7,23,0.30434782608695654
319,BpPOeGZgn8i.jpg,17,23,0.7391304347826086
321,BpPOm4hA5BE.jpg,10,20,0.5
322,BpPOmwGFyPR.jpg,16,21,0.7619047619047619
323,BpPOwKoA3Lr.jpg,4,22,0.18181818181818182
324,BpPP0bvgq4a.jpg,11,22,0.5
325,BpPP6tVnPCJ.jpg,15,22,0.6818181818181818
329,BpPPML9hlVg.jpg,11,22,0.5
331,BpPPUHfBjg4.jpg,5,22,0.22727272727272727
326,BpPPbpTD1_O.jpg,5,20,0.25
327,BpPPi-kgBnx.jpg,12,20,0.6
328,BpPPidPB2rx.jpg,7,21,0.3333333333333333
330,BpPPrVZHTUP.jpg,13,21,0.6190476190476191
332,BpPPuXWAdUh.jpg,8,23,0.34782608695652173
333,BpPQA1GgVEX.jpg,14,21,0.6666666666666666
334,BpPQJhXgKXr.jpg,11,24,0.4583333333333333
336,BpPQX6ml6rp.jpg,8,21,0.38095238095238093
337,BpPQYdzBG7d.jpg,11,23,0.4782608695652174
338,BpPQySXhixC.jpg,5,21,0.23809523809523808
339,BpPR3XwFvLp.jpg,16,21,0.7619047619047619
340,BpPRDn_HmoC.jpg,12,20,0.6
344,BpPRUp-gJJZ.jpg,18,20,0.9
346,BpPRVagh9lx.jpg,0,21,0.0
341,BpPRoU4gI4j.jpg,7,22,0.3181818181818182
342,BpPRqNfBmoC.jpg,17,23,0.7391304347826086
345,BpPRv7MHiIi.jpg,12,22,0.5454545454545454
349,BpPSEoYBDKX.jpg,14,22,0.6363636363636364
351,BpPSKGtH5E7.jpg,8,23,0.34782608695652173
353,BpPSVfJg74-.jpg,14,21,0.6666666666666666
347,BpPSa6wgCR5.jpg,10,24,0.4166666666666667
348,BpPScqoA7qp.jpg,5,20,0.25
350,BpPShtKBT1I.jpg,13,20,0.65
352,BpPSlHzh8OZ.jpg,13,24,0.5416666666666666
360,BpPTV5aHkF9.jpg,5,22,0.22727272727272727
354,BpPTbP-lNH_.jpg,5,21,0.23809523809523808
355,BpPTeOaHrxX.jpg,7,20,0.35
356,BpPTeTbHNey.jpg,11,21,0.5238095238095238
357,BpPTj0AhoXR.jpg,11,24,0.4583333333333333
358,BpPTk4xDi4W.jpg,14,21,0.6666666666666666
359,BpPTpcHnus0.jpg,14,21,0.6666666666666666
361,BpPU16hndvz.jpg,5,21,0.23809523809523808
365,BpPUO92hRne.jpg,3,24,0.125
366,BpPUOYLHenu.jpg,11,20,0.55
368,BpPUURVhuaT.jpg,2,20,0.1
367,BpPUUrgnAvf.jpg,5,20,0.25
362,BpPUa0Ig_-L.jpg,9,22,0.4090909090909091
369,BpPV-qagPyx.jpg,19,22,0.8636363636363636
370,BpPV2rRlybf.jpg,17,21,0.8095238095238095
371,BpPVKF0nPgv.jpg,10,24,0.4166666666666667
372,BpPVL1-gk2g.jpg,16,21,0.7619047619047619
373,BpPVQGEH5vZ.jpg,4,24,0.16666666666666666
374,BpPVSj9nmB1.jpg,10,22,0.45454545454545453
375,BpPVvRiBExu.jpg,10,21,0.47619047619047616
376,BpPWAaDnJt4.jpg,8,23,0.34782608695652173
377,BpPWPvfhNJu.jpg,13,20,0.65
378,BpPWRdGgir_.jpg,11,19,0.5789473684210527
379,BpPWS4bghpI.jpg,8,18,0.4444444444444444
380,BpPX--lgQ1M.jpg,14,19,0.7368421052631579
382,BpPXEGAlkDA.jpg,8,20,0.4
384,BpPYBBwAkOf.jpg,2,17,0.11764705882352941
388,BpPYRhYn7Y3.jpg,7,19,0.3684210526315789
385,BpPYfmhF2Hx.jpg,8,20,0.4
387,BpPYqw2lUt0.jpg,14,20,0.7
389,BpPZiYUBC1h.jpg,4,19,0.21052631578947367
390,BpPZkxjhcTP.jpg,12,21,0.5714285714285714
184,BpP_9PTnuq_.jpg,8,22,0.36363636363636365
186,BpPaFSGBkEl.jpg,13,21,0.6190476190476191
199,BpPbGTJnKR6.jpg,14,28,0.5
202,BpPbr_wgU3j.jpg,18,26,0.6923076923076923
212,BpPd-1jDQ1V.jpg,5,21,0.23809523809523808
251,BpPg8V9H100.jpg,14,21,0.6666666666666666
263,BpPgtbpAzK_.jpg,7,21,0.3333333333333333
281,BpPiETQHwSZ.jpg,2,24,0.08333333333333333
282,BpPiHFQASDx.jpg,16,23,0.6956521739130435
290,BpPkGceHwkl.jpg,18,23,0.782608695652174
303,BpPlQ7PAcKo.jpg,7,21,0.3333333333333333
308,BpPmbnvFVIK.jpg,10,23,0.43478260869565216
335,BpPqTrinP0k.jpg,5,22,0.22727272727272727
343,BpPrrzBnHzw.jpg,10,20,0.5
363,BpPugVKHCdS.jpg,13,20,0.65
364,BpPuj8aFYbQ.jpg,2,21,0.09523809523809523
381,BpPx9WTAoTh.jpg,14,20,0.7
383,BpPxpNWHJ3y.jpg,15,20,0.75
386,BpPypmGlIQv.jpg,14,23,0.6086956521739131
392,BpQAH8Pn3g3.jpg,8,17,0.47058823529411764
396,BpQC3x7gld8.jpg,3,21,0.14285714285714285
397,BpQCE37BpC_.jpg,8,18,0.4444444444444444
398,BpQCeggh0rv.jpg,0,18,0.0
401,BpQD9EYFOGv.jpg,14,22,0.6363636363636364
402,BpQDa8VA9pX.jpg,7,18,0.3888888888888889
406,BpQEB5IAvKF.jpg,10,16,0.625
408,BpQEu1GFPU5.jpg,8,17,0.47058823529411764
409,BpQEvNxF7Pj.jpg,0,18,0.0
411,BpQFGSkAp01.jpg,6,21,0.2857142857142857
410,BpQFGgmns22.jpg,6,21,0.2857142857142857
414,BpQGSgng-96.jpg,7,16,0.4375
415,BpQGU8Ggrsr.jpg,12,20,0.6
416,BpQHC2Xgy8z.jpg,15,19,0.7894736842105263
419,BpQHK7VAdA7.jpg,4,16,0.25
420,BpQHPYkHP9n.jpg,6,18,0.3333333333333333
417,BpQHcXXg3xD.jpg,6,16,0.375
418,BpQHeO1lCUQ.jpg,5,18,0.2777777777777778
421,BpQHuOdjGsd.jpg,5,18,0.2777777777777778
422,BpQHxFQAeVC.jpg,7,21,0.3333333333333333
423,BpQI6d1lafJ.jpg,5,19,0.2631578947368421
430,BpQISH_AtUw.jpg,11,17,0.6470588235294118
424,BpQIbZOBbJX.jpg,12,17,0.7058823529411765
425,BpQIe3BHAih.jpg,11,17,0.6470588235294118
428,BpQIjXEHW9w.jpg,14,18,0.7777777777777778
429,BpQIqZjFtSv.jpg,5,17,0.29411764705882354
431,BpQJ2LWAjhV.jpg,14,20,0.7
432,BpQJgPNFD0z.jpg,12,18,0.6666666666666666
439,BpQKPQUFa2e.jpg,13,19,0.6842105263157895
441,BpQKX-OhVbR.jpg,15,17,0.8823529411764706
440,BpQKt72AOFe.jpg,4,16,0.25
444,BpQLG1Tg02T.jpg,4,18,0.2222222222222222
445,BpQLhrYFJf7.jpg,8,21,0.38095238095238093
447,BpQLoVCgkSC.jpg,12,22,0.5454545454545454
448,BpQLwb3n9dn.jpg,10,18,0.5555555555555556
449,BpQM459AfU5.jpg,17,21,0.8095238095238095
450,BpQM7ahhKfc.jpg,8,21,0.38095238095238093
452,BpQMO6dFfOy.jpg,15,18,0.8333333333333334
453,BpQMzh5lKPm.jpg,11,18,0.6111111111111112
455,BpQNCmMAhjT.jpg,6,17,0.35294117647058826
456,BpQNGajlMAR.jpg,10,18,0.5555555555555556
457,BpQNIpAnGt-.jpg,5,20,0.25
454,BpQNb47l8o2.jpg,9,20,0.45
458,BpQNl60h_Zx.jpg,5,16,0.3125
459,BpQNnHyBcsS.jpg,15,20,0.75
461,BpQNtT3nhum.jpg,7,21,0.3333333333333333
462,BpQNv8mlkba.jpg,13,20,0.65
464,BpQO_P2Hfcc.jpg,6,17,0.35294117647058826
469,BpQOyEhgq2d.jpg,5,17,0.29411764705882354
470,BpQPLGrHmkW.jpg,15,22,0.6818181818181818
471,BpQQFwrhwwq.jpg,14,21,0.6666666666666666
472,BpQQSXoFoxm.jpg,8,20,0.4
473,BpQSAYrFDZA.jpg,15,19,0.7894736842105263
476,BpQSUk0jtKY.jpg,8,15,0.5333333333333333
477,BpQSWKshc90.jpg,8,16,0.5
474,BpQSlARnGa0.jpg,3,20,0.15
475,BpQSmSGHVuO.jpg,7,16,0.4375
478,BpQTKNOhcrr.jpg,9,20,0.45
479,BpQTnhUB8U9.jpg,14,16,0.875
480,BpQU0tDhigt.jpg,11,18,0.6111111111111112
481,BpQUmGoAzTj.jpg,13,18,0.7222222222222222
482,BpQUteYFa9u.jpg,9,21,0.42857142857142855
483,BpQVwSXh6SS.jpg,11,16,0.6875
484,BpQW7OXgeDq.jpg,13,23,0.5652173913043478
485,BpQWEyjlvWI.jpg,12,22,0.5454545454545454
487,BpQYJ0XAXKN.jpg,9,20,0.45
488,BpQYJNvgA3t.jpg,12,19,0.631578947368421
489,BpQYSe-FJb6.jpg,10,19,0.5263157894736842
486,BpQYeSfnE35.jpg,9,18,0.5
490,BpQYvVeFqhK.jpg,13,16,0.8125
491,BpQZ2drhmy2.jpg,11,20,0.55
492,BpQZBEkFGn9.jpg,11,20,0.55
493,BpQZCIZn8m3.jpg,9,19,0.47368421052631576
391,BpQaAB9j6PG.jpg,5,18,0.2777777777777778
393,BpQb9u_lm9Z.jpg,5,17,0.29411764705882354
395,BpQbH3eBRx5.jpg,19,22,0.8636363636363636
394,BpQbeRYjA9M.jpg,9,16,0.5625
399,BpQcEq-jaSU.jpg,5,20,0.25
400,BpQcXi-HTXL.jpg,4,19,0.21052631578947367
403,BpQdiLTHD7g.jpg,6,20,0.3
404,BpQdrB3hXAt.jpg,10,20,0.5
405,BpQe2xCAetH.jpg,9,22,0.4090909090909091
407,BpQeDwOH24B.jpg,7,17,0.4117647058823529
412,BpQfKiIn4bF.jpg,8,18,0.4444444444444444
413,BpQg5sohsxe.jpg,6,18,0.3333333333333333
426,BpQih6Xl_jO.jpg,8,20,0.4
427,BpQijkYneJU.jpg,9,19,0.47368421052631576
433,BpQjORil4Cm.jpg,7,19,0.3684210526315789
